Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,19/09/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belize,BLZ,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.084681548,,-0.106160082,,0.098326825,,-0.045510951,0.190566957,-0.052921403,-0.048588708,0.023866652,-0.044806231,-0.133091673,-0.323144495,-0.281174034,-0.469881326,-0.435866833,-0.451345652,-0.814310551,-0.775928319,-0.957332134,-0.960104883,-0.826132238,-0.836393356,-0.802425146,-0.778173029,
Bermuda,BMU,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.210201263,,1.209021807,,1.230997324,,1.209135413,1.228445053,1.092697859,0.847438395,0.810431302,0.826464057,0.847226143,0.856926978,1.1112082,1.090952396,1.09636724,1.101331592,0.019607974,0.87931776,0.85872972,0.865473568,0.869517803,0.839582562,0.681882322,0.695353568,
Bolivia,BOL,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.261528313,,-0.22726056,,-0.368222207,,-0.378112555,-0.46946907,-0.626744568,-0.765424848,-0.853729308,-0.832326353,-0.978549302,-1.1139189,-1.029790163,-0.98403579,-1.018764019,-1.05081141,-1.058175683,-1.151862383,-1.228689551,-1.23344624,-1.19971323,-1.174364448,-1.207151532,-1.163192868,
Brazil,BRA,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.223502204,,-0.202992082,,-0.244871855,,-0.266611308,-0.367893666,-0.400920123,-0.475531459,-0.402620196,-0.409779429,-0.28804478,-0.103854693,0.056414437,0.045141723,-0.076932795,-0.091847032,-0.052719016,-0.166652888,-0.184023544,-0.287289172,-0.283916891,-0.20343326,-0.209849343,-0.280396819,
Barbados,BRB,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.046772957,,1.232990623,,1.396225691,,1.493938923,1.519153237,1.424127698,1.334750891,1.225232124,1.313636422,1.298601985,1.007878065,1.074538469,1.074076295,1.025717378,1.039596438,1.080372453,1.090324402,0.788659275,0.652969778,0.389348745,0.3524023,0.3313151,0.374692202,
Brunei Darussalam,BRN,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.816034913,,0.531829596,,0.517945468,,0.480448902,0.564721584,0.370861232,0.23348026,0.115104832,0.401655525,0.457919598,0.782543302,0.77304095,0.842867792,0.787489593,0.589224994,0.472058415,0.404601663,0.555983782,0.642315447,0.623039246,0.609003484,0.924954653,0.890205741,
Bhutan,BTN,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.031503625,,0.038308375,,0.130426154,,0.069401726,0.136125684,0.223591417,0.332806766,0.21245949,0.36783278,0.421698183,0.219097927,0.161859259,0.205665544,0.260953724,0.317648262,0.417663902,0.569636941,0.532755733,0.657180071,0.57250911,0.60570538,0.609661877,0.635634661,
Botswana,BWA,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.584521055,,0.631555796,,0.577083766,,0.559019983,0.670592189,0.562500656,0.541108727,0.513664186,0.54485631,0.610460937,0.586034954,0.596930504,0.601400375,0.594521701,0.49451527,0.539543569,0.506869674,0.40187946,0.383638829,0.408063143,0.459768772,0.406072527,0.481632829,
Central African Republic,CAF,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.152381301,,-1.166547298,,-1.375956655,,-0.955280721,-1.433038116,-1.562012315,-1.451329947,-1.544903755,-1.573918343,-1.431870461,-1.323868155,-1.311998963,-1.305445433,-1.438803792,-1.808942914,-1.706067681,-1.694452643,-1.841541409,-1.751763582,-1.706681371,-1.747761369,-1.726798892,-1.666709781,
Canada,CAN,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.647254705,,1.714995384,,1.665486097,,1.661396027,1.697056532,1.68714726,1.6501472,1.801083326,1.797100186,1.796393037,1.796726704,1.798590422,1.727119923,1.756421208,1.747499347,1.886384726,1.83552146,1.831270456,1.794673204,1.747118831,1.751842499,1.646642923,1.62713325,
Central Europe and the Baltics,CEB,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.931551933,,1.927548409,,1.94582057,,1.918213367,1.89939785,1.886195421,1.901669383,1.803771615,1.827945709,1.804707885,1.743140936,1.74979496,1.722141981,1.81180203,1.796086431,1.99034977,1.938408136,1.937358022,1.921151519,1.92139852,1.898181319,1.817349553,1.808163881,
Channel Islands,CHI,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Rule of Law: Estimate,RL.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.113738179,,1.097601771,,1.260923386,,1.257240057,1.177210808,1.16569674,1.210211039,1.181291223,1.195187569,1.210357308,1.194090486,1.225415707,1.263338566,1.287656784,1.255251408,1.34896946,1.24576962,0.984509945,1.006575584,0.966234028,0.947567701,0.942473114,0.914349318,
