Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,19/09/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bosnia and Herzegovina,BIH,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.270569712,,-0.402136475,,-0.595849037,,-0.387543082,-0.282097161,-0.324706376,-0.232808679,-0.3014144,-0.374117345,-0.360781223,-0.379986048,-0.336401552,-0.326692939,-0.309364051,-0.244402736,-0.299684912,-0.391407371,-0.461519122,-0.529383123,-0.582578957,-0.625312626,-0.620458722,-0.643698514,
Belarus,BLR,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.389609158,,-0.323169857,,-0.504357815,,-0.657884896,-0.537339866,-0.759292543,-0.723230779,-0.52986896,-0.574205935,-0.559036314,-0.56215173,-0.633431315,-0.619015694,-0.458519369,-0.40493837,-0.234706506,-0.289550424,-0.198352844,-0.215110376,-0.129793927,0.032411866,-0.110224746,-0.23533681,
Belize,BLZ,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.026595131,,-0.019418102,,-0.042195026,,-0.070856519,-0.10321895,-0.103965633,-0.201737866,-0.31359604,-0.324733347,-0.302956253,0.041316897,-0.023574317,-0.307089061,-0.030974895,0.020445321,-0.159106821,-0.179022163,-0.20044896,-0.276755542,-0.142567858,-0.16567196,-0.168403774,-0.304920167,
Bermuda,BMU,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.318143249,,1.334758759,,1.313403845,,1.310743809,1.33278954,1.306410432,1.269663095,1.25131321,1.26187098,1.27677536,1.317764997,1.301772714,1.272298098,1.260530829,1.253548503,1.220708609,1.215440273,1.223311424,1.237865448,1.234533429,1.2310431,1.311400652,1.325616956,
Bolivia,BOL,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.824829102,,-0.442392319,,-0.483501077,,-0.940807521,-0.853618503,-0.809159338,-0.741979063,-0.431123644,-0.402193725,-0.528391659,-0.631416976,-0.458648711,-0.573696494,-0.727891862,-0.587771356,-0.628422022,-0.694146633,-0.754407942,-0.67995137,-0.66733861,-0.761989772,-0.824403942,-0.86410296,
Brazil,BRA,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.018579531,,0.041475326,,0.013238784,,0.081942312,0.090239018,-0.027268711,-0.15374814,-0.120479897,-0.083988786,0.003437368,-0.079985611,0.043806359,0.168382421,-0.046854232,-0.097699746,-0.365745902,-0.433242053,-0.422299951,-0.536921918,-0.458420366,-0.386171013,-0.407126695,-0.477816075,
Barbados,BRB,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.542726398,,1.541047335,,1.519811511,,1.485193968,1.497642756,1.408980489,1.410587668,1.325771332,1.402494311,1.358608723,1.376189828,1.476755738,1.717747927,1.648287773,1.61204195,1.133456349,1.487837434,1.25191021,1.416810632,1.40732944,1.192611575,1.222869277,1.242948413,
Brunei Darussalam,BRN,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.478994995,,0.351099044,,0.352338552,,0.291513354,0.294731706,0.39448899,0.239500239,0.201880708,0.209355533,0.482722253,0.984291792,0.857778549,0.854477346,0.538632572,0.639075041,0.526151538,0.568516076,0.562653184,0.708136737,0.791131794,0.798348665,1.278217196,1.246438384,
Bhutan,BTN,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94283849,,0.883640766,,0.574339628,,0.449922442,1.087011099,0.893403232,0.87191695,0.854816735,0.92875576,0.912390053,0.937309504,0.938382149,0.854587376,0.953947246,0.912419856,1.306128979,1.02705121,1.143277049,1.572964668,1.636567235,1.619334221,1.662710428,1.553735256,
Botswana,BWA,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.817961216,,0.824313879,,0.858368933,,0.624537587,1.244919538,0.875725925,1.160792708,0.93653053,0.993910909,1.022529721,0.927733779,1.003351092,0.966567457,0.90651536,0.893463314,0.813040078,0.813294947,0.900315821,0.744532168,0.749112308,0.702542424,0.629279554,0.685204029,
Central African Republic,CAF,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.140931249,,-1.122683883,,-1.19889617,,-0.979822814,-1.020734549,-1.477273107,-1.302766085,-1.219142318,-1.210953355,-1.137276769,-0.988850176,-0.9376055,-0.967538118,-1.005531907,-1.096233726,-1.166350484,-1.299050212,-1.280093908,-1.176209807,-1.213368177,-1.216165543,-1.274659276,-1.226334929,
Canada,CAN,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.031407595,,2.034210443,,2.049319029,,1.982231498,1.931292057,1.805866241,1.86970067,1.952794552,1.99088037,1.987721443,2.051796675,2.061873198,1.971133471,1.918904424,1.879342556,1.832427263,1.884429693,1.984779,1.920100808,1.823797584,1.763857365,1.59498167,1.64609468,
Central Europe and the Baltics,CEB,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.986975789,,2.051917791,,2.048353672,,2.059014559,2.012480974,1.985262632,2.010125875,2.083408356,2.140349388,2.108572006,2.060199976,2.064142466,2.029069901,2.13839817,2.124835014,2.147784948,2.134661674,1.983234882,1.984895706,2.004628181,1.980325937,2.07655406,1.989697456,
Channel Islands,CHI,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.454118729,,1.297507286,,1.540218115,,1.479165316,1.167100906,1.305859327,1.41652751,1.412561893,1.345149994,1.317986846,1.321234822,1.441626906,1.47659266,1.543591261,1.498959064,1.441059232,1.217123628,1.056977987,1.034884334,0.987971663,1.008746982,1.134073257,0.98372668,
China,CHN,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.271189511,,-0.353955001,,-0.20854871,,-0.557897568,-0.39526549,-0.565061569,-0.617887735,-0.518887699,-0.599234641,-0.526307642,-0.519456625,-0.570009887,-0.514727592,-0.438275933,-0.355789781,-0.337421417,-0.274102539,-0.243200898,-0.266227782,-0.262216955,-0.289005578,-0.046911303,0.053693742,
Cote d'Ivoire,CIV,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.260566831,,-0.497031659,,-0.777199268,,-0.801531196,-1.013844848,-1.241323471,-1.249787211,-1.20752883,-1.095069647,-1.119051337,-1.117385149,-1.172854543,-1.030993581,-0.838509381,-0.739937127,-0.418946445,-0.439360917,-0.532950342,-0.527117908,-0.503220081,-0.538762808,-0.525587261,-0.371892631,
Cameroon,CMR,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.334984779,,-1.313288569,,-1.32529211,,-1.209111929,-0.981341302,-1.125436306,-1.199409604,-1.091455698,-1.033044815,-1.034228325,-1.020551085,-1.07531774,-1.16692555,-1.27243948,-1.21758461,-1.178454518,-1.074164391,-1.158264041,-1.205515623,-1.144107223,-1.194020867,-1.114790559,-1.09271419,
"Congo, Dem. Rep.",COD,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.647851944,,-1.416679382,,-1.459174871,,-1.449970841,-1.526455402,-1.444693923,-1.443382263,-1.540507793,-1.381071568,-1.261194229,-1.41292572,-1.457886696,-1.457506299,-1.329710841,-1.338081479,-1.320770741,-1.291258812,-1.348747492,-1.42861712,-1.50056076,-1.539865613,-1.57467711,-1.552153826,
